organization,transfer_payment_type,transfer_payment_name,exp_1314,exp_1415,exp_1516,exp_1617,exp_1718
Department of Finance,Other Transfer Payment,(S) Alternative Payments for Standing Programs,-3459827e3,-3466658e3,-3640752e3,-3646468e3,-3882984e3
Department of Finance,Other Transfer Payment,(S) Youth Allowances Recovery,-762975225,-767147511,-810613866,-804534285,-856507839
Department of Finance,Other Transfer Payment,(S) Funding for Home Care Services and Mental Health Services,0,0,0,0,3e8
Department of Finance,Other Transfer Payment,(S) Fiscal Stabilization,0,1034e5,283059600,0,0
Department of Finance,Other Transfer Payment,(S) Establishment of a Canadian Securities Regulation Regime and Canadian Regulatory Authority,0,169e6,0,0,3e7
Department of Finance,Other Transfer Payment,(S) Payments to Provinces Regarding Sales Tax Harmonization,11612e5,-3198e5,-3198e5,0,0
Department of Finance,Other Transfer Payment,(S) Incentives for provinces to eliminate taxes on capital,1405e3,95042e3,521e5,0,0
Department of Finance,Contribution,Research and Policy Initiatives Assistance,1e4,0,27500,1e4,183278
Department of Finance,Other Transfer Payment,(S) Payment to the International Bank for Reconstruction and Development for the Agriculture Advance Market Commitment,1e7,1e7,0,0,0
Department of Finance,Other Transfer Payment,(S) Canadian Securities Regulation Regime Transition Office,1e7,531e5,0,0,0
Department of Finance,Other Transfer Payment,(S) Payment to Ontario related to the Canada Health Transfer,10052e3,0,0,0,0
Department of Finance,Other Transfer Payment,(S) Canada Social Transfer,12215271e3,12581729e3,12959181e3,13347956e3,13748395e3
Department of Finance,Other Transfer Payment,(S) Obligation to Ontario related to General Motors,132291575,75034392,0,0,0
Department of Finance,Other Transfer Payment,(S) Fiscal Equalization,16105194e3,16669278e3,1734131e4,17880415e3,18253657e3
Department of Finance,Other Transfer Payment,(S) Wait times reduction transfer,25e7,0,0,0,0
Department of Finance,Other Transfer Payment,(S) Additional Fiscal Equalization to Nova Scotia,260257e3,131184e3,88186e3,10598e3,16407e3
Department of Finance,Other Transfer Payment,(S) Territorial Financing,3288281700,3469215474,3561034002,3602979726,3681830727
Department of Finance,Other Transfer Payment,(S) Canada Health Transfer,30282900196,32114006363,34024617855,36057581263,37123933953
Department of Finance,Other Transfer Payment,(S) Statutory Subsidies,34118831,34363164,34362809,42355839,42355897
Department of Finance,Contribution,Canadian Securities Regulation Regime Transition Office,42e5,0,0,0,0
Department of Finance,Other Transfer Payment,(S) Payments to International Development Association,44161e4,88322e4,44161e4,44162e4,44161e4
Department of Finance,Contribution,Contribution to the Harbourfront Centre,5e6,5e6,3e6,4e6,0
Department of Finance,Other Transfer Payment,(S) Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,512e5,512e5,512e5,512e5,512e5
Department of Finance,Other Transfer Payment,(S) Additional fiscal equalization payment Total transfer protection,55806e3,0,0,0,0
Department of Finance,Other Transfer Payment,(S) Additional Fiscal Equalization Offset Payment to Nova Scotia,89461e3,64481e3,36779e3,33255e3,19957e3
Department of Fisheries and Oceans,Contribution,Indigenous Community-Boat Volunteer Program,0,0,0,0,1035e3
Department of Fisheries and Oceans,Contribution,Emergency Ice Assistance for East Coast Commercial Fishers,0,0,0,0,1224683
Department of Fisheries and Oceans,Contribution,Coastal Restoration Fund,0,0,0,0,9679316
Department of Fisheries and Oceans,Contribution,Training and Exercising Participation and Funding Contribution Program,0,0,0,0,5e4
Department of Fisheries and Oceans,Contribution,Contributions to Support the Aquatic Invasive Species Program,0,0,0,0,541918
Department of Fisheries and Oceans,Contribution,Contribution Program to support Atlantic Canada's fish and seafood sector,0,0,0,0,202494
Department of Fisheries and Oceans,Contribution,Contributions to support the Adoption of Clean Technology within the Fisheries and Aquaculture Industry through the Fisheries and Aquaculture Clean Technology Adoption Program,0,0,0,0,878043
Department of Fisheries and Oceans,Contribution,"Participant Funding Program for Reviews Related to Fish, Fish Habitat and Navigation",0,0,0,2058553,1000690
Department of Fisheries and Oceans,Contribution,Ocean and Freshwater Science Contribution Program,0,0,0,4273033,15432471
Department of Fisheries and Oceans,Contribution,Contribution to Support Establishment and Management of Conservation Measures,0,0,0,40763,3440165
Department of Fisheries and Oceans,Contribution,Contribution to the Pacific Salmon Foundation,1329832,1433432,1497513,1586277,1504470
Department of Fisheries and Oceans,Grant,Grant Program for the disposal of small craft harbours,148e4,840400,16e5,34e5,1555e3
Department of Fisheries and Oceans,Grant,"Grants to support organizations associated with research, development, management, and promotion of fisheries and oceans-related issues",161964,95459,139944,201308,163296
Department of Fisheries and Oceans,Contribution,Contributions under the Aboriginal Aquatic Resource and Oceans Management Program,18339522,19397085,20679290,21611394,19883727
Department of Fisheries and Oceans,Contribution,Contributions to support the Academic Research Contribution Program for the support of academic research and development related to science priorities,182868,1563538,2310415,2300368,1651605
Department of Fisheries and Oceans,Contribution,Contribution to the Salmon Sub-Committee of the Yukon Fish and Wildlife Management Board for implementing responsibilities pursuant to comprehensive land claim settlements,224296,240800,248100,254300,261500
Department of Fisheries and Oceans,Contribution,Contributions to support the Recreational Fisheries Conservation Partnerships Program,3273788,8615130,11277179,9840246,8956715
Department of Fisheries and Oceans,Contribution,Contributions to support the Small Craft Harbours Class Contribution Program,3496712,2384379,698887,1090919,1805819
Department of Fisheries and Oceans,Contribution,Contributions to support the economic viability and long term sustainability of the Quebec and Atlantic Canada lobster fishery (Atlantic Lobster Sustainability Measures),4464019,0,0,0,0
Department of Fisheries and Oceans,Contribution,"Contributions to support increased Native participation in commercial fisheries, cooperative fisheries management arrangements and consultations respecting Aboriginal fisheries agreements",46716592,48248062,45585599,45679412,52049909
Department of Fisheries and Oceans,Contribution,"Contributions to support organizations associated with research, development, management, and promotion of fisheries and oceans-related issues",494870,865556,3215830,1239719,790207
Department of Fisheries and Oceans,Contribution,"Contribution agreements to permit the Canadian Coast Guard Auxiliary Associations to carry out authorized activities related to maritime Search and Rescue operations, Search and Rescue prevention",5021e3,5021e3,5533536,5521e3,6534400
Department of Fisheries and Oceans,Grant,Grants for the Disposal of Surplus Lighthouses,85e3,1005e3,148e4,455e3,221e3
"Department of Foreign Affairs, Trade and Development",Contribution,Payments of assessed contributions to International Organizations:,0,0,0,0,1211893
"Department of Foreign Affairs, Trade and Development",Grant,Grants for Bilateral Programming: Grants for cooperation with other donor countries for the benefit of developing countries or territories or countries in transition,0,0,0,0,14e5
"Department of Foreign Affairs, Trade and Development",Contribution,International Agency for Research on Cancer,0,0,0,1231582,1299886
"Department of Foreign Affairs, Trade and Development",Contribution,Pan-American Health Organization,0,0,0,13781627,12399672
"Department of Foreign Affairs, Trade and Development",Contribution,Canadian International Innovation program,0,0,327614,914102,2061696
"Department of Foreign Affairs, Trade and Development",Other Transfer Payment,(S) Payments to International Financial Institutions—Direct payments,0,2728e4,287539955,240772641,232251950
"Department of Foreign Affairs, Trade and Development",Grant,United Nations Trust Fund on Indigenous Issues,0,0,0,3e4,3e4
"Department of Foreign Affairs, Trade and Development",Grant,United Nations Voluntary Fund for Victims of Torture,0,0,6e4,6e4,6e4
"Department of Foreign Affairs, Trade and Development",Contribution,Annual Voluntary Contributions,1e6,1502800,3242770,2780577,345e4
"Department of Foreign Affairs, Trade and Development",Grant,Annual host-country financial support for the United Nations Convention on Biological Diversity,1040395,1122362,1182489,1188519,1195243
"Department of Foreign Affairs, Trade and Development",Contribution,Commonwealth Foundation,1098472,1201889,1347689,1139344,1091449
"Department of Foreign Affairs, Trade and Development",Contribution,Commonwealth Youth Program,1267159,1338123,1533759,1090389,1074735
"Department of Foreign Affairs, Trade and Development",Contribution,International Energy Agency,1464338,1310220,1433818,1371053,1469717
"Department of Foreign Affairs, Trade and Development",Contribution,Investment Cooperation Program,1531676,563945,121145,2400,0
"Department of Foreign Affairs, Trade and Development",Grant,Grants in aid of academic relations,1554267,1283800,1185825,1045341,1558600
"Department of Foreign Affairs, Trade and Development",Grant,"Grants for Multilateral Programming: Grants in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activities and appea",1641374818,1894318521,1940967993,1925888917,2065734193
"Department of Foreign Affairs, Trade and Development",Contribution,Roosevelt Campobello International Park Commission,1811879,1903941,1903942,2239578,2149977
"Department of Foreign Affairs, Trade and Development",Contribution,Organization of American States,10392957,10621621,11959822,11535398,10138174
"Department of Foreign Affairs, Trade and Development",Contribution,Organization for Economic Cooperation and Development,10958162,13197717,14503008,13970172,14747486
"Department of Foreign Affairs, Trade and Development",Contribution,Wassenaar Arrangement,101536,87959,95297,96830,105826
"Department of Foreign Affairs, Trade and Development",Contribution,"United Nations Educational, Scientific and Cultural Organization",11501374,11692657,13182412,11591061,12272274
"Department of Foreign Affairs, Trade and Development",Contribution,International Fact Finding Commission,11005,11791,15068,14838,14370
"Department of Foreign Affairs, Trade and Development",Contribution,Organization for Security and Cooperation in Europe,11869858,11271439,17792563,20289813,18312763
"Department of Foreign Affairs, Trade and Development",Grant,(S) Payments under the Diplomatic Service (Special) Superannuation Act,119775,202230,241205,381467,443832
"Department of Foreign Affairs, Trade and Development",Grant,"Grants for Partnership with Canadians Programming: Grants for development assistance programs, projects and activities intended to support development for the benefit of developing countries or t",12172500,23072926,22397552,14705448,15470316
"Department of Foreign Affairs, Trade and Development",Grant,"Grants in lieu of taxes on diplomatic, consular and international organizations' property in Canada in accordance with terms and conditions approved by the Governor in Council",13017225,13503804,13804944,15982860,13523934
"Department of Foreign Affairs, Trade and Development",Contribution,International Labour Organization,13418265,13363103,14827277,14835877,14398848
"Department of Foreign Affairs, Trade and Development",Contribution,International Organization of La Francophonie,14377072,12758343,15742901,16813963,15278121
"Department of Foreign Affairs, Trade and Development",Contribution,International Atomic Energy Agency,14485023,14416706,14706139,14475115,15666577
"Department of Foreign Affairs, Trade and Development",Contribution,World Health Organization,15071097,15501963,17853723,17917997,17930314
"Department of Foreign Affairs, Trade and Development",Grant,Grants in support of the Peace and Stabilization Operations Program,16023057,29946583,44581736,133985518,142733211
"Department of Foreign Affairs, Trade and Development",Contribution,Food and Agriculture Organization,16580444,17116944,19022922,18686622,18462600
"Department of Foreign Affairs, Trade and Development",Contribution,Organization for Economic Cooperation and Development Centre for Education and Research,164916,234283,214151,205335,217473
"Department of Foreign Affairs, Trade and Development",Other Transfer Payment,(S) Advance Market Commitment for Pneumococcal Vaccines,17e6,10915566,0,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,"Grants for Partnership with Canadians Programming: Grants for development assistance programs, projects and activities intended to support development for the benefit of developing countries or t",181530889,188712276,238795161,295818238,218805735
"Department of Foreign Affairs, Trade and Development",Contribution,"Non-Proliferation, Arms Control and Disarmament",112908,222594,172230,191660,211470
"Department of Foreign Affairs, Trade and Development",Grant,"Global Partnership Program for the destruction, disposal and securing of weapons and materials of mass destruction and related expertise",19668063,19982998,18286083,14870278,17072053
"Department of Foreign Affairs, Trade and Development",Contribution,"Contributions under the Global Partnership Program for the destruction, disposal and securing of weapons and materials of mass destruction and related expertise",19709928,14973760,29968958,46361341,47552693
"Department of Foreign Affairs, Trade and Development",Contribution,Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,190525,203993,238563,230657,224503
"Department of Foreign Affairs, Trade and Development",Contribution,International Civil Aviation Organization,2362510,2414895,2701997,2596462,2610118
"Department of Foreign Affairs, Trade and Development",Contribution,Stockholm Convention on Persistent Organic Pollutants,199038,227301,281959,257773,239278
"Department of Foreign Affairs, Trade and Development",Contribution,Payments of assessed contributions to International Organizations: United Nations peacekeeping operations,213618115,271004489,323932304,259066333,248147108
"Department of Foreign Affairs, Trade and Development",Other Transfer Payment,(S) Payments to International Financial Institutions – Encashment of notes,29205e3,211742627,0,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,Peace Implementation Council,291207,287143,270442,259372,234294
"Department of Foreign Affairs, Trade and Development",Contribution,Organization for the Prohibition of Chemical Weapons,3029248,2798821,2953326,2679755,2931244
"Department of Foreign Affairs, Trade and Development",Contribution,Inter-American Institute for Cooperation on Agriculture,3659186,4125517,4062234,4154658,3726254
"Department of Foreign Affairs, Trade and Development",Contribution,International Seabed Authority,315475,276530,301219,346202,324904
"Department of Foreign Affairs, Trade and Development",Contribution,North Atlantic Treaty Organization—Civil administration,32602573,27896184,36637479,24914558,25615622
"Department of Foreign Affairs, Trade and Development",Contribution,International Maritime Organization,341226,344571,398376,328554,335673
"Department of Foreign Affairs, Trade and Development",Contribution,The Vienna Convention and its Montreal Protocol on Substances that Deplete the Ozone Layer,163075,183529,202212,244963,229282
"Department of Foreign Affairs, Trade and Development",Contribution,Religious Freedom Fund Program,364747,2281424,5397808,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,Comprehensive Nuclear-Test-Ban Treaty Organization,4184203,4143485,4726264,4531823,4398798
"Department of Foreign Affairs, Trade and Development",Grant,Religious Freedom Fund Program,4e5,5e5,92888,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,Contributions in support of the Peace and Stabilization Operations Program,44387363,53164666,58161626,40638721,110127787
"Department of Foreign Affairs, Trade and Development",Contribution,World Customs Organization,465885,529041,558292,573610,519681
"Department of Foreign Affairs, Trade and Development",Grant,Grants for Counter-Terrorism Capacity Building Program,5176993,6478379,8642706,7920579,8642123
"Department of Foreign Affairs, Trade and Development",Contribution,Global Commerce Support Program,5410799,5496262,6256127,15761912,16292328
"Department of Foreign Affairs, Trade and Development",Contribution,Commonwealth Secretariat,5620240,6035560,6839170,5839576,5717145
"Department of Foreign Affairs, Trade and Development",Contribution,International Science and Technology Partnership Program,5653361,2588040,0,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,"Secrétariat technique permanent des conférences ministérielles de l'éducation, de la jeunesse et des sports des pays d'expression française",48891,82806,85897,85259,86180
"Department of Foreign Affairs, Trade and Development",Contribution,International Commodity Organizations,43934,34742,47440,39888,42222
"Department of Foreign Affairs, Trade and Development",Contribution,Convention on Biological Diversity,525139,523559,633014,0,0
"Department of Foreign Affairs, Trade and Development",Contribution,World Intellectual Property Organization,537787,539929,617292,604298,579759
"Department of Foreign Affairs, Trade and Development",Contribution,Nuclear Energy Agency of the Organization for Economic Cooperation and Development,549560,757873,737474,767302,928020
"Department of Foreign Affairs, Trade and Development",Contribution,Permanent Court of Arbitration,56684,61505,65566,62201,69800
"Department of Foreign Affairs, Trade and Development",Contribution,"Contributions for Bilateral Programming: Contributions in support of development assistance, contributions for cooperation with countries in transition and contributions in support of regional or",578106558,717584838,704536880,715950024,789877287
"Department of Foreign Affairs, Trade and Development",Contribution,Contributions in Aid of Academic Relations,6082608,6047221,6110096,6131578,5827147
"Department of Foreign Affairs, Trade and Development",Contribution,World Trade Organization,6336240,6020076,7198867,6547332,6417507
"Department of Foreign Affairs, Trade and Development",Contribution,Canada Fund for Local Initiatives,6930412,14007645,13859610,14477764,14752196
"Department of Foreign Affairs, Trade and Development",Contribution,International Tribunal for the Law of the Sea,629634,497215,546789,469206,605909
"Department of Foreign Affairs, Trade and Development",Contribution,Asia-Pacific Economic Cooperation Secretariat,630357,683181,724237,697500,741287
"Department of Foreign Affairs, Trade and Development",Contribution,United Nations framework Convention on Climate Change,690025,756692,788984,775641,1026939
"Department of Foreign Affairs, Trade and Development",Contribution,Contribution for Counter-Terrorism Capacity Building,7530855,7927898,16700522,40158070,27077571
"Department of Foreign Affairs, Trade and Development",Contribution,Contributions for the Anti-Crime Capacity Building Program,7541970,3167148,6682940,7735084,11085595
"Department of Foreign Affairs, Trade and Development",Contribution,Northern Dimension of Canada's Foreign Policy,722789,689628,576487,689966,672364
"Department of Foreign Affairs, Trade and Development",Contribution,Projects and development activities resulting from Summits of La Francophonie,8711661,83e5,83e5,7829949,8202500
"Department of Foreign Affairs, Trade and Development",Contribution,United Nations Organization,89548241,109756252,107815896,100964605,91383841
"Department of Foreign Affairs, Trade and Development",Contribution,International Criminal Court,9161807,8249884,10078233,9944741,11146732
"Department of Foreign Affairs, Trade and Development",Contribution,"Contributions for Multilateral Programming: Contributions in support of development assistance, humanitarian assistance or disaster preparedness, for global operations, programs, projects, activi",9205103,13181942,17072872,164680077,211291248
"Department of Foreign Affairs, Trade and Development",Grant,Grants for the Anti-Crime Capacity Building Program,9728079,2675857,7683323,9356430,4929666
"Department of Foreign Affairs, Trade and Development",Contribution,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,97262,123159,129457,133947,150355
Department of Health,Contribution,Mental Health Commission of Canada Contribution Program,0,0,0,0,1425e4
Department of Health,Grant,Territorial Health Investment Fund,0,0,0,0,27e6
Department of Health,Grant,(S) Grant to Ontario to enhance the capacity of the pan-Canadian Pharmaceutical Alliance,0,0,0,0,3e7
Department of Health,Contribution,Contribution to Canada Health Infoway,0,0,0,21e6,47e6
Department of Health,Contribution,Contribution to the Canadian Foundation for Healthcare Improvement,0,0,2e6,17e6,17e6
Department of Health,Contribution,Thalidomide Survivors Contribution Program,0,0,8e6,11185847,9967690
Department of Health,Contribution,Anti-Drug Strategy Initiatives,0,12896914,25467729,22793236,12969040
Department of Health,Contribution,Territorial Health Investment Fund,0,2619e4,22990300,2e7,0
Department of Health,Contribution,McMaster University – Teams Advancing Patient Experience: Strengthening Quality,1742e3,2416500,2341500,0,0
Department of Health,Contribution,Mood Disorders Society of Canada,1951800,1999990,55e4,325e3,0
Department of Health,Grant,"(S) Grant to Canada Health Infoway Inc. to accelerate the development of electronic health records, common information technology standards across the country, and the further applications of tel",106193803,87956664,82700467,37877924,25847647
Department of Health,Contribution,Drug Treatment Funding Program,13537265,0,0,0,0
Department of Health,Grant,Grant to the Government of Nunavut for the Territorial Health System Sustainability Initiative,14533333,0,0,0,0
Department of Health,Grant,Grant to support the Mental Health Commission of Canada,1455e4,1425e4,1425e4,14243652,0
Department of Health,Contribution,Contribution to the Canadian Agency for Drugs and Technologies in Health,16396848,16058769,16058769,16058769,18058769
Department of Health,Contribution,(S) Pallium Foundation of Canada to support training in palliative care to front-line health care providers,169296,1081862,960441,788401,0
Department of Health,Contribution,Health Care Policy Contribution Program,19712535,20382789,17839928,9284670,8737838
Department of Health,Contribution,Contributions for First Nations and Inuit Supplementary Health Benefits,195140821,191378390,200370251,210429939,142170853
Department of Health,Contribution,Official Languages Health Contribution Program,24861552,35835074,36399999,364e5,33800001
Department of Health,Contribution,Contribution to strengthen Canada's organs and tissues donation and transplantation system,3432179,358e4,358e4,358e4,358e4
Department of Health,Grant,Grant to the Canadian Centre on Substance Abuse,3562500,3562500,0,0,0
Department of Health,Contribution,Drug Strategy Community Initiatives Fund,4473038,0,0,0,0
Department of Health,Contribution,Contribution to the Canadian Partnership Against Cancer,485e5,475e5,47296994,475e5,39854241
Department of Health,Contribution,Contributions for First Nations and Inuit Health Infrastructure Support,482855878,611949625,637662686,752135571,571624276
Department of Health,Contribution,Canadian Blood Services: Blood Research and Development,5e6,5e6,5e6,5175e3,625e4
Department of Health,Grant,Grant to the Health Council of Canada,5951223,1152e3,0,0,0
Department of Health,Contribution,Canada Brain Research Fund to Advance Knowledge for the Treatment of Brain Disorders,6747567,5404909,6180793,24992085,2e7
Department of Health,Contribution,Contributions for First Nations and Inuit Primary Health Care,675173550,641124657,659852641,694651345,607762078
Department of Health,Grant,Grant to the Government of Northwest Territories for the Territorial Health System Sustainability,7533334,0,0,0,0
Department of Health,Contribution,Contribution to the Canadian Patient Safety Institute,776e4,76e5,76e5,76e5,76e5
Department of Health,Grant,Grant to the Government of Yukon for the Territorial Health System Sustainability Initiative,7933333,0,0,0,0
Department of Health,Contribution,Contribution to the Canadian Institute for Health Information,79293905,77758979,78508979,78863979,81748979
Department of Indian Affairs and Northern Development,Contribution,Contributions to provide income support to on-reserve residents,0,991939516,1032502927,1055905261,715698725
Department of Indian Affairs and Northern Development,Contribution,Contributions to support the construction and maintenance of community infrastructure,0,1103841614,1124511157,1702422689,968925402
Department of Indian Affairs and Northern Development,Contribution,Contributions to support First Nations Elementary and Secondary Educational Advancement,0,1370659613,1399815020,1680325427,1119602300
Department of Indian Affairs and Northern Development,Contribution,"Contribution for promoting the safe use, development, conservation and protection of the North's natural resources, and promoting scientific development",0,14643024,11378185,18400307,57481286
Department of Indian Affairs and Northern Development,Contribution,Contributions to support Land Management and Economic Development,0,177363950,180935241,219715253,234356021
Department of Indian Affairs and Northern Development,Contribution,Contributions to support the Advancement of Northern Science and Technology,0,2396736,2414758,0,0
Department of Indian Affairs and Northern Development,Contribution,"Contribution to supply public services in Indian Government Support and to build strong governance, administrative and accountability systems",0,219697456,222925961,247412053,190209313
Department of Indian Affairs and Northern Development,Contribution,(S) Contributions in connection with the First Nations infrastructure,0,26502251,26730568,28067096,8548450
Department of Indian Affairs and Northern Development,Contribution,"Contributions to support the negotiation and implementation of Treaties, Claims and self-government agreements or initiatives",0,276299062,338726631,337134529,395968053
Department of Indian Affairs and Northern Development,Contribution,Contributions to support First Nations and Inuit Post-Secondary Educational Advancement,0,331538650,335101393,350217704,283322781
Department of Indian Affairs and Northern Development,Grant,Grants to increase First Nations and Inuit Youth Participation in Educational and Labour Market Opportunities,0,35e3,45e3,45e3,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to provide programming for low income reserve residents with children under the National Child Benefit Reinvestment Initiative,0,37357835,0,0,1e7
Department of Indian Affairs and Northern Development,Contribution,Contributions to promote social and political development in the North and for Northerners,0,3888846,3477265,4737856,4803418
Department of Indian Affairs and Northern Development,Grant,Grants to implement comprehensive land claims and self-government agreements,0,415905951,436540831,477415037,707993767
Department of Indian Affairs and Northern Development,Contribution,Contribution to increase First Nations and Inuit Youth Participation in Education and Labour Market Opportunities,0,49660015,36390789,76217997,53147412
Department of Indian Affairs and Northern Development,Contribution,"Contributions to provide women, children and families with Protection and Prevention Services",0,678553838,708789784,799489207,475946208
Department of Indian Affairs and Northern Development,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1006657819,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Payments to the Government of the Northwest Territories to facilitate the implementation of comprehensive land claim agreements,1322148,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,(S) Indian Annuities Treaty payments,1540176,2124013,1853406,2242647,1966368
Department of Indian Affairs and Northern Development,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development",1695813973,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education",1733575046,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grant to the Miawpukek Indian Band to support designated programs,10220400,10424808,10633304,10845970,8045737
Department of Indian Affairs and Northern Development,Contribution,Contributions to First Nations Institutions for the purpose of enhancing good governance,10376471,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Federal Interlocutor's Contribution Program,10917592,7441474,14901192,21614187,29416596
Department of Indian Affairs and Northern Development,Grant,Grants to provide income support to on-reserve residents,10963536,9394115,7323654,8407419,4450719
Department of Indian Affairs and Northern Development,Grant,"Grants to support First Nations, Inuit, Tribal Councils, Organizations or other levels of government for the implementation activities as stipulated in the various agreements",127931899,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to support the Aboriginal Economic Development Strategic Partnerships Initiative,13398857,24183110,30652147,39864171,35511296
Department of Indian Affairs and Northern Development,Grant,"Payments to self-governing Aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",132831721,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to implement the First Nations Land Management Act,15508383,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grant for Band Support Funding,152355432,154748327,157748998,160929272,93411224
Department of Indian Affairs and Northern Development,Grant,(S) Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act,18357713,18357713,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in Indian government support",198973754,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grants to the five First Nations who are signatory to the Manitoba Northern Flood Agreement Claim 138 Settlement Agreement,2e6,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions for eligible Aboriginal or other recipients for the purpose of providing advocacy and public education on a diverse range of issues related to the Indian Residential Schools Settlem,2109144,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grants to students and their chaperons to promote fire protection awareness in band and federally operated schools,2800,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Contribution for promoting the safe use, development, conservation and protection of the North's natural resources",21166785,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to beneficiaries and various implementing bodies for implementing comprehensive land claim agreements,215666360,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions for the purpose of consultation and policy development,23535348,15468247,16074751,24029251,61577980
Department of Indian Affairs and Northern Development,Contribution,Transfer payments to the Government of Yukon for the remediation of the Marwell Tar Pit Site to support the Contaminated Sites Program,25e4,90600,1717900,1980100,145700
Department of Indian Affairs and Northern Development,Grant,"Grants for the Political Evolution of the Territories, particularly as it pertains to Devolution",26146842,8632697,7356558,8158688,8051264
Department of Indian Affairs and Northern Development,Contribution,Contributions to support the basic organizational capacity of representative Aboriginal organizations,28443359,21108800,21172161,26446839,30411001
Department of Indian Affairs and Northern Development,Grant,Grants to British Columbia Indian bands in lieu of a per capita annuity,3e5,3e5,3e5,3e5,3e5
Department of Indian Affairs and Northern Development,Contribution,"Contributions to support the building of strong governance, administrative and accountability systems",31101667,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to First Nations for the management of contaminated sites,32497133,29434295,22882344,50504655,72091707
Department of Indian Affairs and Northern Development,Grant,Grants to Inuit to support their cultural advancement,35e3,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions under the Aboriginal business Canada Program,36942985,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to Indian bands for registration administration,4213627,4341747,4522379,4994071,5077758
Department of Indian Affairs and Northern Development,Grant,Grant to the Westbank First Nation to support the implementation of the Westbank First Nation Self-Government Agreement,4923375,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Transfer payments to the Government of Yukon for the care maintenance, remediation and management of the closure of contaminated sites in Yukon",41121323,51251987,42852121,32131877,22557359
Department of Indian Affairs and Northern Development,Contribution,"Contributions to support the negotiation process for comprehensive, specific, and special claims and self-government initiatives",42579575,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grants for Mi'kmaq education in Nova Scotia,45574496,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Contributions to the Inuit Art Foundation for the purpose of assisting Inuit artists and artisans from the Northwest Territories, Nunavut, Northern Quebec and Labrador in the development of their",458e3,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to support the Urban Aboriginal Strategy,47710516,47494745,48999433,47798334,14474025
Department of Indian Affairs and Northern Development,Contribution,(S) Contributions to Indspire (Budget 2013),5e6,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Contributions for promoting the political, social and scientific development of Canada's three territories",5361597,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Contributions to First Nations, their organizations, provinces and third parties for Interim Measures and British Columbia Treaty Related Measures",5799421,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grant to the First Nations Finance Authority pursuant to the First Nations Fiscal and Statistical Management Act,5e5,5e5,5e5,5e5,5e5
Department of Indian Affairs and Northern Development,Grant,Grants to the Government of the Northwest Territories and the Government of Nunavut for health care of Indians and Inuit,51231e3,52256e3,53301e3,54367e3,55454e3
Department of Indian Affairs and Northern Development,Contribution,"Contributions for former students, their families, communities and groups of individuals for the purpose of facilitating regional or national Commemoration projects that address the Indian Reside",6167384,0,0,0,0
